mae: 5.016832815745932: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.658774589067789: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.493718980345386: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.494718239916317: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.9730766524319434: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.8813205485490814: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.197914968703865: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.7801741382011516: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.770118109701291: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 5.152182976208216: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.544560059507255: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.392116933725174: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.4818588229464735: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.90923965938726: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.8597325901002506: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.250044858587695: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.8263873842021026: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.763639338973153: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 5.194593736755114: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.609502208056509: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.3945477445023995: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.445274564460231: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.882917759368179: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.8302727840472777: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.246960973338694: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.8272760080148163: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.779769103374214: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 5.168182334449627: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.565622299896582: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.412344808553048: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.473998608690562: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.9098614971488725: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.789518852929346: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.248265419105423: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.796325802377051: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.7564761379173937: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 5.016029944544381: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.646856208425475: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.487839022834643: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.456276209833011: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 4.007575206413874: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.890770788134538: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.207970852662583: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.8029961880528074: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.7487247464072593: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 5.062805525161135: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.641335524656093: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.465376523356592: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.486377928144997: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 4.013179373128189: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.893169241543681: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.189904717136889: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.791252001228768: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.7706777486701686: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 5.025671782317413: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.636585257893594: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.476881267513837: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.486446011450983: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 4.024971798950684: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.87664074895453: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.181864093097702: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
